,id,comment,User  id,Photo id,created Timestamp,posted date,emoji used,Hashtags used count
0,1,fantastic. wonderful experience.,2,1,13-04-2023 08:04,April 14,yes,1
1,2,broke easily. awful.,3,1,13-04-2023 08:04,April 14,no,2
2,3,met expectations. five stars.,5,1,13-04-2023 08:04,April 14,no,4
3,4,very satisfied. wonderful experience.,14,1,13-04-2023 08:04,April 14,yes,2
4,5,worst purchase. one star.,17,1,13-04-2023 08:04,April 14,yes,1
5,6,some pros and cons. works perfectly.,21,1,13-04-2023 08:04,April 14,no,2
6,7,highly recommend. amazing features.,24,1,13-04-2023 08:04,April 14,yes,0
7,8,waste of money. poor quality.,31,1,13-04-2023 08:04,April 14,no,5
8,9,love this product. highly recommend. nothing special.,36,1,13-04-2023 08:04,April 14,no,6
9,10,poor quality. worst purchase.,41,1,13-04-2023 08:04,April 14,yes,2
10,11,awful. customer service was bad. some pros and cons.,52,1,13-04-2023 08:04,April 14,yes,1
11,12,fantastic. best purchase ever.,54,1,13-04-2023 08:04,April 14,no,3
12,13,wonderful experience. love this product. some pros and cons.,55,1,13-04-2023 08:04,April 14,yes,1
13,14,broke easily. does not work.,57,1,13-04-2023 08:04,April 14,no,2
14,15,decent for the price. worst purchase.,62,1,13-04-2023 08:04,April 14,no,4
15,16,awful. one star.,63,1,13-04-2023 08:04,April 14,yes,2
16,17,exceeded expectations. works perfectly.,66,1,13-04-2023 08:04,April 14,yes,1
17,18,best purchase ever. easy to use.,71,1,13-04-2023 08:04,April 14,no,2
18,19,works as expected. easy to use.,72,1,13-04-2023 08:04,April 14,yes,0
19,20,difficult to use. difficult to use.,75,1,13-04-2023 08:04,April 14,no,5
20,21,neither good nor bad. very satisfied.,76,1,13-04-2023 08:04,April 14,no,6
21,22,amazing features. great value.,78,1,13-04-2023 08:04,April 14,yes,2
22,23,exceeded expectations. best purchase ever. some pros and cons.,87,1,13-04-2023 08:04,April 14,yes,1
23,24,would not recommend. bad experience.,91,1,13-04-2023 08:04,April 14,no,3
24,25,it's okay. five stars.,98,1,13-04-2023 08:04,April 14,yes,1
25,26,it's okay. five stars.,3,2,13-04-2023 08:04,April 14,no,2
26,27,broke easily. terrible product.,5,2,13-04-2023 08:04,April 14,no,4
27,28,love this product. works perfectly.,14,2,13-04-2023 08:04,April 14,yes,2
28,29,very satisfied. easy to use.,15,2,13-04-2023 08:04,April 14,yes,1
29,30,could be better. excellent quality.,18,2,13-04-2023 08:04,April 14,no,2
30,31,met expectations. does not work.,19,2,13-04-2023 08:04,April 14,yes,0
31,32,best purchase ever. works perfectly.,21,2,13-04-2023 08:04,April 14,no,5
32,33,easy to use. excellent quality.,24,2,13-04-2023 08:04,April 14,no,6
33,34,average product. customer service was bad.,28,2,13-04-2023 08:04,April 14,yes,2
34,35,worst purchase. missing features.,30,2,13-04-2023 08:04,April 14,yes,1
35,36,customer service was bad. one star.,31,2,13-04-2023 08:04,April 14,no,3
36,37,works as expected. very disappointed.,35,2,13-04-2023 08:04,April 14,yes,1
37,38,awful. would not recommend.,36,2,13-04-2023 08:04,April 14,no,2
38,39,amazing features. wonderful experience. average product.,41,2,13-04-2023 08:04,April 14,no,4
39,40,would not recommend. terrible product. decent for the price.,42,2,13-04-2023 08:04,April 14,yes,2
40,41,love this product. five stars.,43,2,13-04-2023 08:04,April 14,yes,1
41,42,exceeded expectations. excellent quality.,47,2,13-04-2023 08:04,April 14,no,2
42,43,waste of money. one star.,48,2,13-04-2023 08:04,April 14,yes,0
43,44,it's okay. five stars.,54,2,13-04-2023 08:04,April 14,no,5
44,45,very satisfied. works perfectly.,57,2,13-04-2023 08:04,April 14,no,6
45,46,works perfectly. five stars.,60,2,13-04-2023 08:04,April 14,yes,2
46,47,works perfectly. excellent quality.,65,2,13-04-2023 08:04,April 14,yes,1
47,48,very disappointed. difficult to use. average product.,66,2,13-04-2023 08:04,April 14,no,3
48,49,broke easily. very disappointed.,71,2,13-04-2023 08:04,April 14,yes,1
49,50,wonderful experience. five stars.,75,2,13-04-2023 08:04,April 14,no,2
50,51,terrible product. awful.,76,2,13-04-2023 08:04,April 14,no,4
51,52,five stars. excellent quality. neither good nor bad.,82,2,13-04-2023 08:04,April 14,yes,2
52,53,met expectations. very disappointed.,85,2,13-04-2023 08:04,April 14,yes,1
53,54,broke easily. one star.,87,2,13-04-2023 08:04,April 14,no,2
54,55,highly recommend. very satisfied. nothing special.,91,2,13-04-2023 08:04,April 14,yes,0
55,56,average product. customer service was bad.,95,2,13-04-2023 08:04,April 14,no,5
56,57,neither good nor bad. best purchase ever.,5,3,13-04-2023 08:04,April 14,no,6
57,58,best purchase ever. best purchase ever. average product.,14,3,13-04-2023 08:04,April 14,yes,2
58,59,bad experience. difficult to use.,15,3,13-04-2023 08:04,April 14,yes,1
59,60,best purchase ever. works perfectly.,21,3,13-04-2023 08:04,April 14,no,3
60,61,waste of money. terrible product.,24,3,13-04-2023 08:04,April 14,yes,1
61,62,best purchase ever. great value.,27,3,13-04-2023 08:04,April 14,no,2
62,63,very disappointed. waste of money.,35,3,13-04-2023 08:04,April 14,no,4
